baseline,count,repetition,updates_per_actor,create_total_ms,create_per_actor_ms,pose_update_total_ms,pose_update_per_actor_update_ms,shape_update_total_ms,shape_update_per_actor_ms,actors_after_create,actors_after_pose,actors_after_shape,components_after_create,components_after_pose,components_after_shape,component_names_reused_during_pose,component_names_reused_during_shape,create_payload_bytes,pose_payload_bytes_total,shape_payload_bytes,create_ok,pose_ok,shape_ok,mode
semantic_proxy,50,1,5,35.03349999664351,0.7006699999328703,6.406000000424683,0.025624000001698732,1.98459999228362,0.0396919998456724,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,2,5,35.72319999511819,0.7144639999023639,7.1361999871442094,0.028544799948576838,2.0533999922918156,0.04106799984583631,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,3,5,37.24250000959728,0.7448500001919456,6.576800005859695,0.02630720002343878,2.0136999955866486,0.04027399991173297,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,4,5,34.75360000447836,0.6950720000895672,6.902599998284131,0.027610399993136525,1.9896999874617904,0.03979399974923581,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,5,5,43.026500003179535,0.8605300000635907,8.005499999853782,0.03202199999941513,2.5304000009782612,0.050608000019565225,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,6,5,42.9988000105368,0.859976000210736,6.675700002233498,0.02670280000893399,2.8184000111650676,0.05636800022330135,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,7,5,51.03799999051262,1.0207599998102523,9.725999989314005,0.03890399995725602,2.1204000076977536,0.04240800015395507,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,8,5,43.085099998279475,0.8617019999655895,7.440000001224689,0.029760000004898757,2.432499997667037,0.04864999995334074,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,50,9,5,40.41200000210665,0.808240000042133,6.929600000148639,0.027718400000594556,2.0414000027813017,0.040828000055626035,50,50,50,268,268,268,1,1,246310,70077,18660,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,0,5,77.99229999363888,0.7799229999363888,15.571199997793883,0.031142399995587766,4.447399987839162,0.044473999878391623,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,1,5,79.92099999682978,0.7992099999682978,15.047599998069927,0.030095199996139854,4.4323000038275495,0.044323000038275495,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,2,5,79.04290000442415,0.7904290000442415,14.864499986288138,0.029728999972576275,4.702800011727959,0.04702800011727959,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,3,5,82.54619999206625,0.8254619999206625,15.720600000349805,0.03144120000069961,4.646799992769957,0.046467999927699566,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,4,5,76.604200003203,0.76604200003203,14.54329999978654,0.02908659999957308,4.579900007229298,0.045799000072292984,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,5,5,80.4509000008693,0.804509000008693,14.339599991217256,0.02867919998243451,4.15150000480935,0.0415150000480935,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,6,5,76.17819998995401,0.7617819998995401,14.360799992573448,0.028721599985146895,4.486799996811897,0.044867999968118966,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,7,5,75.1826999912737,0.7518269999127369,14.792200003284961,0.029584400006569922,4.5947999897180125,0.045947999897180125,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,8,5,75.06529999955092,0.7506529999955092,15.012399991974235,0.03002479998394847,4.418900003656745,0.04418900003656745,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,100,9,5,74.08140000188723,0.7408140000188723,14.822099998127669,0.029644199996255338,4.735099995741621,0.04735099995741621,100,100,100,536,536,536,1,1,492607,140077,37305,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,0,5,178.43230000289623,0.7137292000115849,38.940400001592934,0.031152320001274346,12.12679999298416,0.04850719997193664,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,1,5,185.3426000016043,0.7413704000064172,40.24280000885483,0.03219424000708386,13.44039999821689,0.05376159999286756,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,2,5,183.96609999763314,0.7358643999905325,39.47879999759607,0.03158303999807686,11.682900003506802,0.04673160001402721,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,3,5,184.54640000709333,0.7381856000283733,36.56420001061633,0.029251360008493064,11.112099993624724,0.0444483999744989,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,4,5,213.86420000635553,0.8554568000254221,50.321100003202446,0.04025688000256196,20.26119999936782,0.08104479999747127,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,5,5,239.77210000157356,0.9590884000062943,54.8069999931613,0.04384559999452904,15.989700012141839,0.06395880004856735,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,6,5,236.43180000362918,0.9457272000145167,66.07030000304803,0.05285624000243842,22.009499996784143,0.08803799998713657,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,7,5,184.57630000193603,0.7383052000077441,39.65609999431763,0.031724879995454106,12.297099994611926,0.049188399978447706,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
semantic_proxy,250,8,5,181.8731000093976,0.7274924000375904,40.1547999936156,0.032123839994892475,13.022699989960529,0.052090799959842116,250,250,250,1340,1340,1340,1,1,1231671,350834,93386,1,1,1,Component payload replay via ApplyObstacleBatchJson
