baseline,count,repetition,updates_per_actor,create_total_ms,create_per_object_ms,pose_update_total_ms,pose_update_per_object_ms,shape_update_total_ms,shape_update_per_object_ms,no_op_total_ms,no_op_per_object_ms,destroy_total_ms,destroy_per_object_ms,actor_count,components_after_create,components_after_pose,components_after_shape,components_created_approx,components_destroyed_approx,components_reused_during_pose,components_reused_during_shape,component_names_reused_during_pose,component_names_reused_during_shape,descriptor_bytes,triangles_estimated,create_failures,pose_failures,shape_failures,no_op_failures,mode
ellipsoid_proxy,100,3,5,34.861499996623024,0.34861499996623024,4.296500002965331,0.008593000005930662,0.5206999921938404,0.0052069999219384044,0.000500003807246685,5.00003807246685e-06,4.5343999954639,0.045343999954639,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,4,5,34.56220000225585,0.3456220000225585,4.110299996682443,0.008220599993364885,0.5381000082707033,0.0053810000827070326,0.000500003807246685,5.00003807246685e-06,3.937799992854707,0.03937799992854707,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,5,5,32.25119999842718,0.3225119999842718,4.4101999956183136,0.008820399991236627,0.4895000020042062,0.004895000020042062,0.000600004568696022,6.00004568696022e-06,3.000400000018999,0.03000400000018999,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,6,5,23.29670000472106,0.2329670000472106,4.211599996779114,0.008423199993558228,0.5321000062394887,0.005321000062394887,0.000400003045797348,4.00003045797348e-06,4.043900000397116,0.04043900000397116,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,7,5,23.473299996112473,0.23473299996112473,4.105699990759604,0.008211399981519207,0.5390000005718321,0.005390000005718321,0.0005999900167807937,5.999900167807937e-06,3.4198000066680834,0.034198000066680834,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,8,5,30.08230001432821,0.3008230001432821,4.335700010415167,0.008671400020830333,0.535300001502037,0.0053530000150203705,0.000600004568696022,6.00004568696022e-06,4.62409999454394,0.0462409999454394,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,100,9,5,41.79969998949673,0.4179969998949673,5.082899995613843,0.010165799991227686,0.6585999944945797,0.006585999944945797,0.000800006091594696,8.00006091594696e-06,5.223300002398901,0.05223300002398901,100,100,100,100,100,100,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,0,5,106.22169999987818,0.42488679999951273,11.524899993673898,0.009219919994939119,1.3522000081138685,0.005408800032455474,0.000300002284348011,1.200009137392044e-06,12.60690001072362,0.05042760004289448,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,1,5,82.30699998966884,0.32922799995867535,11.7541999934474,0.00940335999475792,1.389600001857616,0.005558400007430464,0.000400003045797348,1.600012183189392e-06,12.70999999542255,0.0508399999816902,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
ellipsoid_proxy,250,2,5,83.90959999815095,0.3356383999926038,11.230499992961995,0.008984399994369596,1.2790000037057325,0.00511600001482293,0.0004999892553314567,1.9999570213258266e-06,11.59360000747256,0.04637440002989024,250,250,250,250,250,250,1,1,1,1,0,,0,0,0,0,Editor-Cmd actor microbenchmark
