backend,count,repetition,action,sequence,payload_bytes,elapsed_ms,ok,managed_actors,static_mesh_components,estimated_triangles,estimated_draw_calls
semantic_proxy_instanced,500,2,pose_update,5,65162,8.809400,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,6,64836,8.730900,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,7,65698,8.831600,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,8,65233,8.667600,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,9,64754,8.223200,1,1,11,1028400,11
semantic_proxy_instanced,500,2,pose_update,10,65275,8.280900,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,1,175737,13.308700,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,2,173093,13.469700,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,3,175812,13.620400,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,4,174036,13.195500,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,5,173001,13.713000,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,6,173058,13.280300,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,7,175612,13.404300,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,8,175149,12.873100,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,9,172669,12.930600,1,1,11,1028400,11
semantic_proxy_instanced,500,2,shape_param_update,10,175176,12.391800,1,1,11,1028400,11
