frame_idx,t_rel_s,t_unix,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
275,4.701388,1783330732.954,42.1425537,-1.5884004,303.54,47.16,1.82,-6.56,73.61
276,4.718484,1783330732.971,42.1425539,-1.5883987,303.56,47.18,1.82,-6.55,73.63
277,4.735580,1783330732.989,42.1425550,-1.5884066,303.34,46.96,1.82,-6.53,73.66
278,4.752676,1783330733.006,42.1425564,-1.5883984,303.36,46.98,1.82,-6.52,73.66
279,4.769772,1783330733.023,42.1425566,-1.5883965,303.38,47.00,1.82,-6.54,73.65
280,4.786868,1783330733.040,42.1425567,-1.5883946,303.40,47.02,1.82,-6.56,73.63
281,4.803964,1783330733.057,42.1425569,-1.5883927,303.41,47.03,1.81,-6.57,73.61
282,4.821060,1783330733.074,42.1425570,-1.5883908,303.43,47.05,1.81,-6.59,73.59
283,4.838156,1783330733.091,42.1425572,-1.5883889,303.45,47.07,1.81,-6.60,73.57
284,4.855252,1783330733.108,42.1425574,-1.5883870,303.47,47.09,1.79,-6.60,73.56
285,4.872348,1783330733.125,42.1425575,-1.5883851,303.49,47.11,1.75,-6.59,73.57
286,4.889444,1783330733.142,42.1425577,-1.5883832,303.50,47.12,1.71,-6.58,73.58
