frame,t_unix,t_rel_s,lat,lon,alt_msl,rel_alt,roll,pitch,yaw
224,1783330763.509,22.400,42.1441810,-1.5882982,303.46,46.90,0.85,-5.79,347.27
225,1783330763.609,22.500,42.1441891,-1.5883010,303.19,46.63,1.09,-5.41,347.34
226,1783330763.709,22.600,42.1441944,-1.5883025,303.45,46.89,1.04,-5.53,347.30
227,1783330763.809,22.700,42.1442022,-1.5883051,303.20,46.64,1.01,-5.79,347.34
228,1783330763.909,22.800,42.1442071,-1.5883065,303.43,46.87,0.98,-5.53,347.33
229,1783330764.009,22.900,42.1442145,-1.5883090,303.17,46.61,0.95,-5.80,347.40
230,1783330764.109,23.000,42.1442204,-1.5883106,303.44,46.88,0.81,-5.71,347.41
231,1783330764.209,23.100,42.1442288,-1.5883133,303.22,46.66,0.59,-5.99,347.30
232,1783330764.309,23.200,42.1442341,-1.5883148,303.47,46.91,0.49,-5.98,347.38
233,1783330764.409,23.300,42.1442421,-1.5883173,303.22,46.66,0.30,-5.59,347.36
234,1783330764.509,23.400,42.1442474,-1.5883188,303.48,46.92,0.13,-6.24,347.36
235,1783330764.609,23.500,42.1442553,-1.5883213,303.26,46.70,0.07,-5.85,347.28
236,1783330764.709,23.600,42.1442612,-1.5883230,303.52,46.96,0.03,-6.02,347.33
237,1783330764.809,23.700,42.1442684,-1.5883253,303.24,46.68,-0.05,-5.38,347.32
238,1783330764.909,23.800,42.1442736,-1.5883267,303.48,46.92,-0.07,-3.78,347.33
