case_id,family,stratum,seed,condition,method,status,exception,voxel_iou,bev_iou,normalized_symmetric_chamfer,heldout_silhouette_iou,volume_error,gt_outside_prediction,prediction_outside_gt,inference_ms,primitive_count,triangle_equiv,descriptor_bytes,evaluations,objective,top_fit_iou,side_fit_iou,theta_json
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,sppa_text_only,pass,,0.46272443403590946,0.671957671957672,0.014781187821231983,0.6545797604065622,0.09529860228716645,0.3974587039390089,0.3339887640449438,1.8453,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,bbox,pass,,0.16079601176855182,0.6447368421052632,0.050713601352050504,0.3117588932806324,5.219059720457433,0.0,0.8392039882314482,0.2744,1,12,152,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,ellipsoid,pass,,0.23817567567567569,0.8085106382978723,0.035078406953867415,0.4641506967696454,2.284371029224905,0.1758576874205845,0.7490714948932219,0.5854,1,160,158,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,capsule,pass,,0.2365855419946559,0.8009367681498829,0.03565817497731791,0.46328317499443905,2.35146124523507,0.16747141041931385,0.7515923566878981,1.0626,3,384,504,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,billboard,pass,,0.06845910528694081,0.9146666666666666,0.03251182695585092,0.5065675755937469,0.7982210927573062,0.9229987293519695,0.6183879093198993,0.2983,794,9528,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,clean,nonsemantic_visual_hull,pass,,0.3970736629667003,0.9171122994652406,0.02210488389915218,0.45938422411975544,1.5184243964421855,0.0,0.6029263370332997,0.3214,9910,118920,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,sppa_mvfit,pass,,0.5209790209790209,0.691358024691358,nan,nan,0.7636594663278272,0.053367217280813214,0.46325648414985593,11.4023,8,896,1327,31,0.20525236355794385,0.8177816901408451,0.7739837398373983,"[0.0,0.3133941020022867,0.07410797215372204,1.1400000000000001,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,generic_mvfit,pass,,0.16148325358851676,0.7629107981220657,nan,nan,1.2078780177890724,0.554002541296061,0.7979972375690608,11.8051,8,1280,1238,31,0.3847234790191085,0.8100664767331434,0.4343675417661098,"[0.0,0.5877866649021191,0.5877866649021191,1.07,0.034999999999999996]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,sppa_text_only,pass,,0.46272443403590946,0.671957671957672,nan,nan,0.09529860228716645,0.3974587039390089,0.3339887640449438,1.8394,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,bbox,pass,,0.13953900709219857,0.5716666666666667,nan,nan,6.166454891994918,0.0,0.8604609929078014,0.2536,1,12,181,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,ellipsoid,pass,,0.22996101235710037,0.7266949152542372,nan,nan,2.7301143583227447,0.1156289707750953,0.7629104782667938,0.5146,1,160,187,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,capsule,pass,,0.22996101235710037,0.7266949152542372,nan,nan,2.7301143583227447,0.1156289707750953,0.7629104782667938,0.9864,3,384,516,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,billboard,pass,,0.0658695652173913,0.7742663656884876,nan,nan,0.754002541296061,0.9229987293519695,0.6869834710743802,0.238,968,11616,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mild_morphology,nonsemantic_visual_hull,pass,,0.2908351810790835,0.7742663656884876,nan,nan,2.4383735705209655,0.0,0.7091648189209164,0.2368,13530,162360,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,sppa_mvfit,pass,,0.511869918699187,0.6868932038834952,nan,nan,0.3628970775095299,0.2,0.4130151034868544,11.0487,8,896,1479,31,0.31353633187556357,0.6247030878859857,0.7487787857641311,"[0.031550989576144384,-0.06019402497246948,0.08829260714567842,1.175,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,generic_mvfit,pass,,0.16163052494371372,0.7357954545454546,nan,nan,0.49123252858958066,0.6533672172808133,0.7675528289025222,13.1043,8,1280,1382,31,0.378268754405504,0.8054711246200608,0.4524569240587109,"[-0.3241361101211775,0.5198754592859087,0.5877866649021191,1.07,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,sppa_text_only,pass,,0.46272443403590946,0.671957671957672,nan,nan,0.09529860228716645,0.3974587039390089,0.3339887640449438,1.7628,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,bbox,pass,,0.17953129359248582,0.6856540084388185,nan,nan,4.446505717916137,0.01880559085133418,0.8198488241881299,0.2547,1,12,181,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,ellipsoid,pass,,0.26014498791767354,0.843501326259947,nan,nan,1.8432020330368488,0.20660736975857688,0.7209510189488738,0.5165,1,160,187,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,capsule,pass,,0.2593574297188755,0.835509138381201,nan,nan,1.9844980940279542,0.17941550190597205,0.7250510899182562,1.3076,3,384,599,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,billboard,pass,,0.06769436997319035,0.7413793103448276,nan,nan,0.7855146124523507,0.9229987293519695,0.6409952606635071,0.583,844,10128,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,moderate_morphology,nonsemantic_visual_hull,pass,,0.35235071187135103,0.7463556851311953,nan,nan,1.3552731893265566,0.12579415501905972,0.6288303841173932,0.3004,9268,111216,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,sppa_mvfit,pass,,0.5625,0.7898550724637681,nan,nan,0.44599745870393903,0.11944091486658195,0.39103690685413006,14.3715,8,896,1478,31,0.3612884689800919,0.6635416666666667,0.6159135559921415,"[-0.1282740547698383,0.2679317279255292,0.05971923470162228,1.1400000000000001,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,generic_mvfit,pass,,0.16230615545618876,0.7955665024630542,nan,nan,1.1047013977128335,0.5664548919949174,0.794011108427916,15.3726,8,1280,1259,31,0.5391584591772078,0.6575052854122622,0.2782152230971129,"[-0.06899287148695131,0.5877866649021191,0.5877866649021191,1.105,0.034999999999999996]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,sppa_text_only,pass,,0.46272443403590946,0.671957671957672,nan,nan,0.09529860228716645,0.3974587039390089,0.3339887640449438,2.1387,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,bbox,pass,,0.16079601176855182,0.6447368421052632,nan,nan,5.219059720457433,0.0,0.8392039882314482,0.3956,1,12,152,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,ellipsoid,pass,,0.23817567567567569,0.8085106382978723,nan,nan,2.284371029224905,0.1758576874205845,0.7490714948932219,0.5143,1,160,158,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,capsule,pass,,0.2365855419946559,0.8009367681498829,nan,nan,2.35146124523507,0.16747141041931385,0.7515923566878981,0.9744,3,384,504,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,billboard,pass,,0.05083581405999542,0.7706666666666667,nan,nan,0.8337992376111817,0.9435832274459974,0.6605504587155964,0.239,654,7848,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,partial_occlusion,nonsemantic_visual_hull,pass,,0.25973205257836196,0.7566844919786097,nan,nan,0.5329097839898348,0.4777636594663278,0.659316976127321,0.2281,6032,72384,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,sppa_mvfit,pass,,0.5695841716968477,0.805,nan,nan,0.37890724269377385,0.13672172808132146,0.37394028750460745,11.0346,8,896,1479,31,0.21751802318399843,0.8100320170757738,0.7573385518590998,"[-0.18755523805272528,0.2679317279255292,0.05971923470162228,1.1400000000000001,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,generic_mvfit,pass,,0.1676945980433858,0.8165374677002584,nan,nan,0.7905972045743329,0.5992376111817027,0.7761850695430031,11.7784,8,1280,1311,31,0.40192712776425943,0.8123644251626898,0.3980514961725818,"[-0.06899287148695131,0.5877866649021191,0.5877866649021191,0.8250000000000001,0.06999999999999999]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,sppa_text_only,pass,,0.46272443403590946,0.671957671957672,nan,nan,0.09529860228716645,0.3974587039390089,0.3339887640449438,1.7429,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,bbox,pass,,0.16079601176855182,0.6447368421052632,nan,nan,5.219059720457433,0.0,0.8392039882314482,0.2527,1,12,152,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,ellipsoid,pass,,0.23817567567567569,0.8085106382978723,nan,nan,2.284371029224905,0.1758576874205845,0.7490714948932219,0.4889,1,160,158,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,capsule,pass,,0.2365855419946559,0.8009367681498829,nan,nan,2.35146124523507,0.16747141041931385,0.7515923566878981,0.9526,3,384,504,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,billboard,pass,,0.06804867057232988,0.8909090909090909,nan,nan,0.795425667090216,0.9232528589580686,0.6248447204968944,0.3025,805,9660,32768,0,,,,
dev-csg_id-branching_vertical-010,branching_vertical,csg_id,110082,mask_corruption,nonsemantic_visual_hull,pass,,0.39579755530861704,0.9146666666666666,nan,nan,1.5113087674714105,0.004320203303684879,0.6035215543412265,0.2434,9882,118584,32768,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,sppa_mvfit,pass,,0.6801356315343318,0.8156028368794326,0.008411353674659287,0.8113101149099162,0.1342426417803302,0.13603732950466618,0.23829113924050632,11.1426,8,896,1513,31,0.1870370464234228,0.8505392912172574,0.7769230769230769,"[-0.20238202692356025,-0.03278982282299073,-0.15613100927280466,1.1400000000000001,0.034999999999999996]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,generic_mvfit,pass,,0.4377159483542462,0.8582089552238806,0.023020160865775147,0.45787288554142486,0.8377602297200287,0.13603732950466618,0.5298828125,11.8696,8,1280,1299,31,0.256817198087363,0.8952536824877251,0.601761252446184,"[-0.1431008436406733,0.3694361115867266,0.5877866649021191,0.755,0.0]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,sppa_text_only,pass,,0.4370471014492754,0.7684563758389261,0.016652521778518926,0.6563040134468706,0.27781765972720746,0.3072505384063173,0.45786516853932585,1.7565,8,896,887,0,,,,"[0.0,0.0,0.0,1.0,0.0]"
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,bbox,pass,,0.210105580693816,0.7,0.03823791001294865,0.33629191321499013,3.759511844938981,0.0,0.789894419306184,0.2698,1,12,164,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,ellipsoid,pass,,0.3257737459978655,0.8745387453874539,0.025721206604086184,0.515881029309947,1.567121320890165,0.12347451543431442,0.6585570469798657,0.5647,1,160,170,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,capsule,pass,,0.3146273026717092,0.8206896551724138,0.026912907909179426,0.4982427811550152,1.867910983488873,0.07430007178750897,0.6772215269086358,1.0532,3,384,478,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,billboard,pass,,0.0915032679738562,0.9333333333333333,0.02461295577205187,0.6170532141449083,0.801148600143575,0.8994974874371859,0.49458483754512633,0.2965,554,6648,32768,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,clean,nonsemantic_visual_hull,pass,,0.5421288188363494,0.9333333333333333,0.014300218261773334,0.5107166358537274,0.8445800430725053,0.0,0.4578711811636505,0.3058,5139,61668,32768,0,,,,
dev-csg_id-branching_vertical-011,branching_vertical,csg_id,110083,mild_morphology,sppa_mvfit,pass,,0.5899760063982938,0.75,nan,nan,0.1407035175879397,0.20567121320890164,0.3036500943989931,11.2183,8,896,1461,31,0.24086813192654866,0.835742444152431,0.6841339155749636,"[-0.1431008436406733,0.15031106488035445,-0.19061718534397395,1.035,0.034999999999999996]"
